caseId,fraudType,channel,riskLevel,amount,currency,merchantCategory,location,timestamp,description
CASE-100000,UPI_FRAUD,WALLET,MEDIUM,2043.42,USD,GIFT_CARD,Australia,2025-12-21 00:19:57,Transaction of 2043.42 USD via WALLET in Australia under category GIFT_CARD. Unauthorized UPI transfer initiated after social engineering call.
CASE-100001,CRYPTO_PURCHASE,WALLET,HIGH,2157.44,USD,RETAIL,USA,2025-11-14 20:59:57,"Transaction of 2157.44 USD via WALLET in USA under category RETAIL. Rapid crypto purchases from unfamiliar IP address, inconsistent with customer history."
CASE-100002,MERCHANT_COLLUSION,WALLET,HIGH,5030.48,USD,GAMBLING_SITE,UAE,2026-02-26 02:17:57,Transaction of 5030.48 USD via WALLET in UAE under category GAMBLING_SITE. Repeated transactions to same merchant with suspicious split payments pattern.
CASE-100003,CARD_TESTING,WALLET,CRITICAL,16.8,USD,RETAIL,Singapore,2026-02-07 12:43:57,Transaction of 16.8 USD via WALLET in Singapore under category RETAIL. Multiple low-value test transactions across merchants followed by a sudden high purchase attempt.
CASE-100004,SIM_SWAP,WALLET,MEDIUM,3654.46,USD,MONEY_TRANSFER,USA,2026-02-17 01:01:57,Transaction of 3654.46 USD via WALLET in USA under category MONEY_TRANSFER. SIM swap suspected. OTP delivered to new SIM and unauthorized transfer initiated.
CASE-100005,UPI_FRAUD,NETBANKING,CRITICAL,5711.63,USD,FOOD,Germany,2026-01-25 04:26:57,Transaction of 5711.63 USD via NETBANKING in Germany under category FOOD. Unauthorized UPI transfer initiated after social engineering call.
CASE-100006,FAKE_REFUND,NETBANKING,HIGH,937.88,USD,E_COMMERCE,India,2025-07-25 21:15:57,Transaction of 937.88 USD via NETBANKING in India under category E_COMMERCE. Refund requested for high-value purchase without shipment confirmation. Possible refund fraud.
CASE-100007,GAMBLING,ATM,LOW,3276.87,USD,RETAIL,UAE,2025-10-10 11:39:57,Transaction of 3276.87 USD via ATM in UAE under category RETAIL. Unusual gambling site payments with no prior gambling activity on the account.
CASE-100008,ATM_WITHDRAWAL,UPI,CRITICAL,329.77,USD,CRYPTO_EXCHANGE,Australia,2025-09-15 08:24:57,Transaction of 329.77 USD via UPI in Australia under category CRYPTO_EXCHANGE. Multiple ATM withdrawals within minutes across different locations.
CASE-100009,CHARGEBACK_FRAUD,WALLET,MEDIUM,14096.83,USD,MONEY_TRANSFER,Australia,2025-05-27 07:43:57,Transaction of 14096.83 USD via WALLET in Australia under category MONEY_TRANSFER. Customer raised chargeback after successful delivery. Pattern matches chargeback fraud.
